Client ID: 5f4057c3-f02a-4924-b37b-aed0a2f94687, Operation: insert, Position: 0, Data: a
Client ID: b8a73460-1632-4ff7-82b1-1d55eb8d89d8, Operation: insert, Position: 29, Data: k
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 11, Data: f
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 10, Data: l
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 9, Data: e
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 8, Data: s
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 7, Data: r
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 6, Data: u
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 5, Data: o
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 4, Data: y
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 3, Data: k
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 2, Data: c
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 1, Data: u
Client ID: 15d6a777-53ab-475a-92f2-ec4bb62678d0, Operation: delete, Position: 0, Data: f
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 0, Data: j
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 1, Data: d
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 2, Data: j
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 3, Data: d
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 4, Data: j
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 5, Data: j
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 6, Data: d
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 0, Data: b
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 1, Data: c
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 2, Data: h
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 3, Data: j
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 4, Data: d
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 5, Data: b
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 6, Data: d
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: delete, Position: 13, Data: d
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: delete, Position: 12, Data: j
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: delete, Position: 11, Data: j
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 11, Data: j
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 12, Data: c
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 13, Data: k
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 14, Data: d
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 15, Data: d
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: insert, Position: 16, Data: b
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 7, Data: f
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 8, Data: u
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 9, Data: c
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 10, Data: k
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 11, Data: h
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 12, Data: e
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 13, Data: l
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 14, Data: l
Client ID: 3b3d4f3c-e667-4e86-91b7-ed8e37c0cb10, Operation: insert, Position: 15, Data: o
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: delete, Position: 15, Data: o
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: delete, Position: 14, Data: l
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: delete, Position: 13, Data: l
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: delete, Position: 12, Data: e
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: delete, Position: 11, Data: h
Client ID: 2eb722fd-89fa-4a17-b988-d411f601d248, Operation: delete, Position: 10, Data: k
Client ID: 99deafb0-cb3e-4bc5-8a51-060b0d02cbe5, Operation: insert, Position: 0, Data: n
Client ID: 99deafb0-cb3e-4bc5-8a51-060b0d02cbe5, Operation: insert, Position: 1, Data: k
Client ID: 99deafb0-cb3e-4bc5-8a51-060b0d02cbe5, Operation: insert, Position: 2, Data: j
Client ID: 99deafb0-cb3e-4bc5-8a51-060b0d02cbe5, Operation: insert, Position: 3, Data: a
Client ID: 99deafb0-cb3e-4bc5-8a51-060b0d02cbe5, Operation: insert, Position: 4, Data: k
